++ TO ++ DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 4496 | Addr: 4198800 | RoutineName: .text
--FROM-- DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 4450 | Addr: 4198754 | RoutineName: .text
++ TO ++ DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 4253 | Addr: 4198557 | RoutineName: .text
--FROM-- DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 4463 | Addr: 4198767 | RoutineName: .text
++ TO ++ DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 4253 | Addr: 4198557 | RoutineName: .text
--FROM-- DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 4481 | Addr: 4198785 | RoutineName: .text
++ TO ++ DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 4253 | Addr: 4198557 | RoutineName: .text
--FROM-- DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 4267 | Addr: 4198571 | RoutineName: .text
++ TO ++ DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 4352 | Addr: 4198656 | RoutineName: .text
--FROM-- DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 4357 | Addr: 4198661 | RoutineName: .text
++ TO ++ DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 29680 | Addr: 4223984 | RoutineName: unnamedImageEntryPoint
--FROM-- DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 29680 | Addr: 4223984 | RoutineName: unnamedImageEntryPoint
++ TO ++ DLL: C:\Windows\System32\msvcrt.dll | BaseAddr: 176432 | Addr: 140724934390064 | RoutineName: __set_app_type
--FROM-- DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 4362 | Addr: 4198666 | RoutineName: .text
++ TO ++ DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 4279 | Addr: 4198583 | RoutineName: .text
--FROM-- DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 4286 | Addr: 4198590 | RoutineName: .text
